Id,Name,Date(created_at),Tweet(text),User_id,Screen_name,Location
,,,,,,
1.14614E+18,Nii Ayikwei Parkes is BLUE for #Sudan,Tue Jul 02 19:33:35 +0000 2019,how do you spell f a i l e d s t a t e ,34415870,BlueBirdTail,"Manchester, Accra, London"
,,,,,,
1.14614E+18,s a m,Tue Jul 02 19:33:36 +0000 2019,rt nick ozaki me after an episode of handmaid s tale  t co au9y5wkyad,1.07122E+18,samvieiras,na terceira a esquerda
,,,,,,
1.14614E+18,Jackal,Tue Jul 02 19:33:36 +0000 2019, skiddler as a canadian a day after canada day this is damn near an act of war im fuckin offended give that bac  t co iuvn28iigr,285399602,RagingJackal,Ontario Canada
,,,,,,
1.14614E+18,Travel Industry,Tue Jul 02 19:33:37 +0000 2019,rt lonelyplanet canada is mighty proud of its railways which run from coast to coast here are some of the country s amazing long distan ,26066384,TravelIndustry,Everywhere!
,,,,,,
1.14614E+18,Vicco Canada,Tue Jul 02 19:33:37 +0000 2019,nothing like a new pair of vicco x sporty led light up sneakers feature memory foam insole and phylon outsole t  t co xledinro5o,1.09229E+18,viccocanada,"Toronto, Ontario"
,,,,,,
1.14614E+18,Rachiebabe079,Tue Jul 02 19:33:37 +0000 2019,rt nationalpost canada s immigration ministry should start behaving like an hr department not an open invitation dinner party  t ,1909410433,RachieBabe079,
,,,,,,
1.14614E+18,JoinManyVids,Tue Jul 02 19:33:38 +0000 2019,rt manyvids congrats to lilcdngirl your vid lil canadian bukkake 2 is the winner of our canada day vid contest  t co ,7.93094E+17,JoinManyVids,#1 Clip Site in the World
,,,,,,
1.14614E+18,Chris,Tue Jul 02 19:33:38 +0000 2019, justinhollings9 pniddy40 canesedge canada is known for its massive amount of snowflakes ,1027092529,Bobel813,
,,,,,,
1.14614E+18,Nellie Oleson,Tue Jul 02 19:33:39 +0000 2019,rt dublinairport enter to win flights to your choice of 7 destinations in canada with aircanada whale watch in st john s visit the ,7.79401E+17,Nelieoleson1974,
,,,,,,
1.14614E+18,Jalen Michael Weir,Tue Jul 02 19:33:39 +0000 2019,rt diijahhhh for the americans that think we don t have racism in canada or police brutality we most definitely do the only difference i ,1176615978,ravngsofamadman,
,,,,,,
1.14614E+18,T. Dwight Hanna IPMA-SCP/SHRM-SCP/CBP/CCP/ADAC,Tue Jul 02 19:33:40 +0000 2019,rt cafreeland great news today that the united states will lift tariffs on canadian steel and aluminum and canada will end our retaliatio ,896951562,HannaTDwight,"South Carolina, USA"
,,,,,,
1.14614E+18,Gaylene,Tue Jul 02 19:33:40 +0000 2019,rt trump45maga2016 a group of somali women ferociously harass assault a white woman on being challenged for shoving her 4 yr old child a ,1.04033E+18,GayleneSass,
,,,,,,
1.14614E+18,Waste Reduction Week,Tue Jul 02 19:33:41 +0000 2019,the changes should into effect this october just in time for wastereductionweek 2019 kfc canada t london  t co ond7x0mbrc,77916142,WRWCanada,Canada
,,,,,,
1.14614E+18,Diane #PPC2019,Tue Jul 02 19:33:41 +0000 2019,rt pangebrandt colinkorolppc peterdiane01 maximebernier it also flies in the face of the climate crisis narrative they keep guilting ,3948881354,peterdiane01,"Comox, British Columbia"
,,,,,,
1.14614E+18,Norm McDougall,Tue Jul 02 19:33:41 +0000 2019,rt jasonjmudry as canada day approaches i wanted to share an article i wrote about our incredible neighbours remza and fikret please sh ,8.6833E+17,norm_mcdougall,
,,,,,,
1.14614E+18,SRG10,Tue Jul 02 19:33:42 +0000 2019,rt fightowensfight every single week i hear the same thing no matter where i am in the world go back to canada my answer is the s ,1.08237E+18,SRG107,
,,,,,,
